"Region";"TariffItem";"UnitOfMeasure";"StartDate";"EndDate";"MeasureDeviceAvail";"StoveType";"ConsumptionTime";"ConsumptionTarget";"Agency";"TariffValue";"global_id";
"Регион";"Предмет тарифа";"Единицы измерения";"Дата начала действия тарифа";"Дата окончания действия тарифа";"Наличие приборов учета";"Тип кухонной плиты";"Время потребления";"Цель потребления";"Организация, оказывающая услуги";"Значение тарифа";"global_id";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"Потребители, подключенные к тепловой сети до тепловых пунктах, эксплуатируемой теплоснабжающей организацией";"ПАО «МОЭК»";"1806.96";"842798808";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"Потребители, подключенные к тепловой сети после тепловых пунктов (на тепловых пунктах), эксплуатируемых теплоснабжающей организацией";"ПАО «МОЭК»";"2199.24";"842798854";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"Потребители, подключенные к тепловой сети после тепловых пунктов (на тепловых пунктах), эксплуатируемых теплоснабжающей организацией";"ПАО «МОЭК»";"2279.95";"842798878";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ПАО «Мосэнерго»";"1708.53";"842798910";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ПАО «Мосэнерго»";"1773.19";"842798934";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселения Краснопахорское (за исключением поселка подсобного хозяйства Минзаг), Вороновское, Роговское, Михайлово-Ярцевское";"2176.73";"842798988";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселения Краснопахорское (за исключением поселка подсобного хозяйства Минзаг), Вороновское, Роговское, Михайлово-Ярцевское";"2256.52";"842799018";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселение Кленовское";"2079.47";"842799075";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселение Кленовское";"2155.69";"842799116";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселение Щаповское";"2076.67";"842799183";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселение Щаповское";"2152.91";"842799237";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселение Рязановское";"1815.96";"842799290";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселение Рязановское";"1882.63";"842799323";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Городской округ Щербинка";"1968.36";"842799371";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Городской округ Щербинка";"2040.63";"842799411";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселения Сосенское, Десеновское (за исключением системы теплоснабжения котельной «Витермо«), Филимонковское, Внуковское, «Мосрентген«, Московский, Воскресенское";"2059.74";"842799450";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселения Сосенское, Десеновское (за исключением системы теплоснабжения котельной «Витермо«), Филимонковское, Внуковское, «Мосрентген«, Московский, Воскресенское";"2135.44";"842799654";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселения Киевский, Новофедоровское, Кокошкино, Первомайское, Марушкинское";"2540.26";"842799936";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселения Киевский, Новофедоровское, Кокошкино, Первомайское, Марушкинское";"2633.55";"842799979";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселок подсобного хозяйства Минзаг поселения Краснопахорское";"2589.54";"842800039";
